iso3,paese,regione,codice,nome,fonte,direzione,valore,anno,note
HUN,Ungheria,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
HUN,Ungheria,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
HUN,Ungheria,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,5.1,NA,NA
HUN,Ungheria,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,37.2,NA,NA
HUN,Ungheria,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,9.1,NA,NA
IRL,Irlanda,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
IRL,Irlanda,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,2.8208360454396857,2021,da OECD SOCX TP31
IRL,Irlanda,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,97.17916395456032,2021,da OECD SOCX TP31
IRL,Irlanda,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,1.6,NA,NA
IRL,Irlanda,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,32.8,NA,NA
IRL,Irlanda,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,31.6,NA,NA
ITA,Italia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
ITA,Italia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
ITA,Italia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
ITA,Italia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,6.2,NA,NA
ITA,Italia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,19.1,NA,NA
ITA,Italia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,19.8,NA,NA
LVA,Lettonia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
LVA,Lettonia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
LVA,Lettonia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
LVA,Lettonia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,11.3,NA,NA
